epoch,train_loss,train_auc,val_loss,val_auc,lr
1,0.6934018776529106,0.6160568450663126,0.6853257368621359,0.650890492080446,4.9951654846492654e-05
2,0.5898792802262816,0.7540909259455882,0.6022367253745871,0.716768400694253,4.980681018220471e-05
3,0.5563714659747433,0.787095692150479,0.5872213593587908,0.7321270337184912,4.956603764285287e-05
4,0.5448249503108944,0.7970583752982772,0.5883285695686609,0.7375296941359413,4.923028744765146e-05
5,0.5368216510390975,0.8037019143113668,0.5856704964488715,0.7416365970758264,4.8800884649231264e-05
6,0.5298914269292105,0.8093662526776325,0.5852058400187038,0.743565643684921,4.827952390426216e-05
7,0.5247889915713939,0.8135858159113195,0.583839987392584,0.7449284255036014,4.766826278541748e-05
8,0.5206933057096006,0.8169243123137495,0.5786798601468697,0.7447119832544318,4.696951366107466e-05
9,0.5169529762179922,0.8198881576549769,0.5783606072035568,0.7443117291912605,4.618603417479937e-05
10,0.5137575517033343,0.822438641411946,0.5800951860699364,0.7439001295989216,4.532091636218621e-05
11,0.5115325546043211,0.8242085002473826,0.5767994705742693,0.7422149247796279,4.4377574448006834e-05
12,0.5096706373619031,0.8257795757577548,0.5770870122575785,0.7419562720377594,4.3359731371824576e-05
13,0.5079683777063329,0.8272282136174454,0.5797360187914601,0.7400481898974032,4.227140409525287e-05
14,0.5065282592054146,0.8286069429423821,0.5777196888325667,0.7414286935996843,4.111688774884289e-05
15,0.5053161789917248,0.8298272822658528,0.5768791541496158,0.7415734732016569,3.990073868116559e-05
16,0.5040786342820668,0.8310538786094063,0.5772771249899775,0.7411080046418607,3.862775647698541e-05
17,0.5028343980960784,0.8323411855332138,0.578989393688275,0.7398375581833712,3.730296501549202e-05
